date,ticker,open,high,low,close,volume,returns_pct
2022-01-03,RELIANCE,2476.84,2496.7,2422.91,2459.8,4940428,-1.6079
2022-01-04,RELIANCE,2443.34,2497.22,2423.41,2460.31,6310409,0.0207
2022-01-05,RELIANCE,2467.38,2481.76,2408.41,2445.09,2920856,-0.6189
2022-01-06,RELIANCE,2450.52,2472.16,2399.09,2435.63,2458621,-0.3868
2022-01-07,RELIANCE,2415.56,2439.9,2367.79,2403.85,4011166,-1.3049
2022-01-10,RELIANCE,2353.83,2409.77,2338.55,2374.16,5472780,-1.2348
2022-01-11,RELIANCE,2291.92,2340.64,2271.46,2306.05,1834573,-2.8688
2022-01-12,RELIANCE,2311.52,2332.91,2263.96,2298.43,2775381,-0.3304
2022-01-13,RELIANCE,2288.68,2334.51,2265.51,2300.01,3347760,0.0684
2022-01-14,RELIANCE,2279.98,2315.0,2246.57,2280.78,6523398,-0.8357
2022-01-17,RELIANCE,2330.53,2346.94,2277.58,2312.26,5764359,1.38
2022-01-18,RELIANCE,2308.59,2346.12,2276.78,2311.45,2679531,-0.0351
2022-01-19,RELIANCE,2297.18,2348.3,2278.89,2313.59,2000487,0.0929
2022-01-20,RELIANCE,2323.33,2357.4,2287.73,2322.56,4432726,0.3877
2022-01-21,RELIANCE,2321.66,2356.91,2287.25,2322.08,2300687,-0.0207
2022-01-24,RELIANCE,2324.48,2359.53,2289.79,2324.66,3067801,0.1112
2022-01-25,RELIANCE,2271.34,2310.92,2242.61,2276.77,3837575,-2.0604
2022-01-26,RELIANCE,2319.9,2350.38,2280.91,2315.65,5414544,1.7077
2022-01-27,RELIANCE,2271.46,2303.39,2235.31,2269.35,2562311,-1.9994
2022-01-28,RELIANCE,2278.39,2335.8,2266.76,2301.28,3252059,1.4071
2022-01-31,RELIANCE,2326.78,2348.51,2279.09,2313.8,1182923,0.5442
2022-02-01,RELIANCE,2306.66,2330.05,2261.18,2295.61,5274205,-0.7861
2022-02-02,RELIANCE,2296.54,2344.38,2275.09,2309.74,4171299,0.6153
2022-02-03,RELIANCE,2298.52,2334.88,2265.87,2300.38,4090867,-0.4052
2022-02-04,RELIANCE,2357.27,2370.05,2300.0,2335.03,3332623,1.5063
2022-02-07,RELIANCE,2310.48,2345.26,2275.95,2310.6,3196106,-1.0459
2022-02-08,RELIANCE,2310.68,2345.42,2276.1,2310.76,2618182,0.0066
2022-02-09,RELIANCE,2269.54,2319.96,2251.39,2285.68,6828970,-1.0853
2022-02-10,RELIANCE,2262.02,2286.87,2219.28,2253.08,1883566,-1.4263
2022-02-11,RELIANCE,2262.44,2283.65,2216.15,2249.9,1388794,-0.1412
2022-02-14,RELIANCE,2275.26,2332.14,2263.21,2297.68,4431551,2.1236
