review_id,category,rating,sentiment_label,language,review_text
0,Electronics,3,Neutral,English,item arrived shipping shipping product
1,Clothing,5,Positive,English,happy excellent perfect love perfect
2,Clothing,5,Positive,English,perfect good love perfect great
3,Electronics,5,Positive,English,amazing excellent love great happy
4,Electronics,5,Positive,English,excellent excellent love amazing happy
5,Electronics,5,Positive,English,amazing great great perfect excellent
6,Food,5,Positive,English,amazing excellent happy amazing perfect
7,Electronics,1,Negative,English,broke refund waste bad bad
8,Electronics,5,Positive,English,perfect happy love love amazing
9,Beauty,5,Positive,English,happy great happy good perfect
10,Electronics,3,Neutral,English,product arrived item average arrived
11,Electronics,5,Positive,English,excellent happy happy good excellent
12,Beauty,5,Positive,English,good happy good amazing great
13,Clothing,5,Positive,English,amazing excellent great love perfect
14,Electronics,3,Neutral,English,average product average product shipping
15,Food,3,Neutral,English,okay average shipping arrived item
16,Electronics,5,Positive,Code-mixed,love happy good great amazing bahut accha
17,Electronics,5,Positive,English,excellent excellent perfect excellent great
18,Electronics,5,Positive,English,good great excellent excellent happy
19,Electronics,1,Negative,English,broke waste worst terrible terrible
20,Electronics,1,Negative,English,waste broke refund refund broke
21,Food,3,Neutral,English,shipping average shipping product shipping
22,Electronics,5,Positive,English,excellent perfect excellent great amazing
23,Electronics,3,Neutral,English,arrived item average average okay
24,Beauty,3,Neutral,English,okay okay okay okay okay
25,Clothing,3,Neutral,English,arrived okay arrived okay average
26,Electronics,5,Positive,English,excellent happy great good good
27,Food,5,Positive,English,perfect excellent happy perfect great
28,Electronics,3,Neutral,English,arrived shipping shipping item shipping
29,Food,5,Positive,English,amazing good happy love excellent
30,Electronics,5,Positive,English,perfect great great happy good
31,Clothing,3,Neutral,Code-mixed,product average product average okay theek hai
32,Electronics,5,Positive,English,good perfect perfect great love
33,Electronics,5,Positive,English,great excellent love perfect excellent
34,Clothing,3,Neutral,Code-mixed,product product okay okay item theek hai
35,Electronics,5,Positive,English,excellent great great happy amazing
36,Food,5,Positive,Code-mixed,good good amazing perfect great bahut accha
37,Electronics,5,Positive,English,amazing happy good happy love
38,Electronics,5,Positive,English,happy love perfect amazing love
39,Electronics,5,Positive,English,love amazing great excellent good
40,Electronics,1,Negative,English,bad broke worst terrible unhappy
