review_id,customer_id,product_id,category,review_text,rating
0,2424,704,Books,good okay okay very very item the,4
1,1106,877,Electronics,earbuds battery sound charging screen screen excellent excellent life the,2
2,7201,180,Books,the bad item the good good product a product very is the,5
3,6977,266,Food,a very good okay okay good okay good okay a the,3
4,5422,755,Food,very very very good a is okay is the,5
5,7482,758,Clothing,a is cotton fabric shirt shirt cotton very a shirt the,4
6,1771,981,Clothing,embroidery the size the fit color dress very embroidery the,1
7,1188,796,Clothing,is fit fabric dress very size very the,1
8,9317,208,Books,very the okay bad good very very item very the,3
9,6947,999,Books,bad very is product is good okay good the,3
10,9727,884,Clothing,cotton size fabric the is the,2
11,8397,223,Clothing,very embroidery size color very very is the the dress the dress the,2
12,1514,980,Clothing,dress color cotton cotton fabric color the,3
13,2588,774,Electronics,earbuds screen battery earbuds very charging excellent the the battery the,4
14,3296,532,Food,the product good a a good very product good bad is the,2
15,8956,592,Food,okay item the product is good item product item item product bad the,2
16,5673,533,Home,bad good the item product the,5
17,2312,971,Books,bad okay item a is very good a is product bad item the,2
18,6183,367,Electronics,earbuds poor very charging charging wireless wireless sound charging the,2
19,2200,650,Books,okay the very okay okay very good is item item the,2
20,9666,108,Electronics,the wireless earbuds battery life is very poor and bad,5
21,4450,834,Food,item bad bad good is okay the,3
22,3647,859,Clothing,size shirt a fabric color is fabric dress embroidery the,4
23,1653,466,Beauty,a bad item very bad good the is the good the the,2
24,3662,919,Books,very the a product item very item okay the,2
25,5065,373,Home,bad item product the very the,2
26,4728,328,Books,the good is bad item the the,1
27,6425,128,Books,the okay good very the is very product the,1
28,9379,218,Food,a item good a the product the the,4
29,6967,541,Beauty,okay very good item is very very very the,1
30,7211,793,Books,a a bad item is very okay very is bad the,2
31,9375,584,Beauty,the product okay bad product a okay the very the,2
32,6085,330,Books,okay a a good item okay the,2
33,4185,835,Clothing,fabric very color is fit the,4
34,5082,968,Home,okay a good very very good the bad item is good the,1
35,9270,536,Home,product very item a item item a the,5
36,4919,381,Home,very is okay okay a very is the,4
37,7678,438,Electronics,life life charging earbuds battery screen screen wireless the,5
38,7389,973,Home,good product the very item good product a is item okay the,4
39,3091,737,Beauty,is okay is the very product very product the,5
40,6363,316,Electronics,earbuds excellent is battery life the,4
41,2124,899,Food,very the very product okay good good is item the the,1
42,7043,271,Clothing,the fabric of this is great and the embroidery is nice,5
43,7149,506,Beauty,product bad okay a item a the,2
44,8018,777,Electronics,earbuds earbuds the is sound earbuds very the poor the,3
45,5425,730,Electronics,earbuds wireless excellent excellent excellent poor is excellent earbuds battery charging the,5
46,6325,286,Home,the very okay product product good product okay is a the good the,4
47,8800,761,Clothing,is dress a the shirt fabric very embroidery the fit the,4
48,8753,666,Home,good bad very okay a the,5
49,4138,321,Food,item is the is okay okay very okay very item very the,4
50,5786,814,Food,item product okay the okay very bad good good the,2
51,1878,255,Books,good good okay is the item okay product bad good is a the,2
52,5871,980,Beauty,good okay a the a a very the item the,5
53,2229,260,Home,a good item good very a okay good okay the,1
54,4241,535,Home,very is good okay okay product good okay okay product a product the,1
55,5728,549,Beauty,a item product good bad okay very a the,1
56,2496,334,Home,very item is is good good the okay okay the,5
57,8708,631,Beauty,item very okay good very the,4
58,2713,978,Food,item the product item is the okay the,2
59,1018,773,Food,very okay item product is is okay okay item the is the,5
60,1472,745,Home,good is a is the good okay bad okay product is the,5
61,3522,610,Clothing,shirt fabric dress cotton a embroidery very the,3
62,2143,382,Beauty,the is is is bad bad a very bad the,4
63,9903,486,Food,product okay okay a item is bad is the the,4
64,7246,495,Food,item okay the product the okay is item the,2
65,2633,638,Home,bad item okay good product the,4
66,6188,741,Electronics,is very wireless the life sound poor wireless life screen charging the,4
67,2480,544,Beauty,a okay very okay okay the,1
68,7141,541,Books,the very item good product okay the,2
69,1153,923,Clothing,size is cotton fabric a color cotton a embroidery fit shirt the,4
70,5949,303,Food,good item item okay item very is the,4
71,7484,381,Home,okay a a item okay item the,1
72,4770,721,Beauty,item very product item very the,3
73,8222,134,Clothing,color the the color a color a color the,5
74,9697,613,Food,good okay very bad bad is item the,3
75,7511,966,Clothing,a very very shirt a is fit fabric is the,5
76,7242,942,Food,product good is is very very the,3
77,5986,604,Electronics,wireless is charging is battery wireless the is life poor earbuds very the,1
78,7797,770,Electronics,earbuds poor poor very screen charging sound screen the,1
79,1992,507,Home,item okay very bad is okay the item the item a the,3
80,6464,349,Clothing,very is embroidery cotton color very the,2
81,1046,383,Beauty,good very bad bad product okay bad item the,2
82,7897,638,Clothing,is embroidery a embroidery dress is color fabric shirt the,1
83,1710,844,Books,is product is good is item the,5
84,9984,829,Food,a good item product the good very the item okay bad bad the,3
85,8398,333,Home,is a good very product a very very bad the,4
86,7105,931,Food,the very okay okay okay item very is good good the very the,2
87,7929,988,Beauty,a a okay bad the the,1
88,4705,926,Food,the a bad a okay good product the very the,4
89,6062,447,Beauty,a a very good okay the,3
90,7878,564,Electronics,earbuds charging poor earbuds sound wireless screen battery the,3
91,8242,524,Clothing,shirt shirt very color a embroidery is fabric fabric fit the,3
92,1897,107,Clothing,dress embroidery the color size shirt the,2
93,4770,612,Food,very very okay bad is the bad is the,5
94,2887,514,Books,good product good good item product a a very the the,1
95,7560,636,Food,product a product item good product okay the,1
96,3419,341,Home,very bad product good a is bad very the the,1
97,6295,984,Clothing,cotton color is color cotton is fit is is the,3
98,9307,493,Clothing,fabric fit shirt shirt fabric size shirt fit fabric is fabric a the,4
99,3471,163,Beauty,is product a okay is the,4
100,7347,518,Electronics,very earbuds sound wireless screen very charging sound poor very the,3
101,5655,358,Books,product a good good very the,5
102,6381,932,Clothing,fabric color very shirt color color embroidery the embroidery size the,2
103,8967,296,Books,a the the the bad bad the,2
104,3147,711,Clothing,fabric a embroidery is a a fabric the,4
105,8277,725,Clothing,cotton the color a the fabric dress the,3
